web-scraper-order,job_name,company_name,job_exp,job_salary,company_address,job_domain,job_working_hour,working_address,skills,hiring_amount
1751525164-28,Chuyên Viên Phân Tích Nghiệp Vụ,Công ty TNHH công nghệ truyền thông- truyền hình,3 năm,Tới 25 triệu,"116 Lạc Trung, Hai Bà Trưng, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 18:00)","116 Lạc Trung, Vĩnh Tuy, Hai Bà Trưng, Hai Bà Trưng","Phân tích dữ liệu
                                    Xây Dựng Báo Cáo
                                    Trình Bày Dữ Liệu
                                    Kỹ năng giải quyết vấn đề
                                    Kỹ năng giao tiếp",1 người
1751525171-29,Business Analyst,CÔNG TY TNHH An Ninh An toàn Thông tin CMC,2 năm,15 - 30 triệu,"Tầng 15, Tòa Nhà CMC, Số 11 Duy Tân, Cầu Giấy, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)","Tầng 15, tòa CMC Tower, số 11 Duy Tân, Cầu Giấy",,1 người
1751525177-30,Business Analyst,Công ty Cổ phần Công nghệ Alphaway,2 năm,20 - 36 triệu,"83 Vũ Trọng Phụng, Thanh Xuân, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 18:00)","Lương Yên, Bạch Đằng, Hai Bà Trưng",Business Analyst,1 người
1751525184-31,Business Analyst (Domain ERP ) - Offer Upto 35.000.000,Công ty cổ phần Công nghệ thông tin Phú Minh (Phú Minh Teck),4 năm,Thoả thuận,"Tầng 5, Tòa nhà 152 Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)","Láng Hạ, Ba Đình","Phân Tích Nghiệp Vụ
                                    Mô Hình Hóa Dữ Liệu
                                    Quản Lý Yêu Cầu
                                    Thu Thập Và Phân Tích Yêu Cầu
                                    Viết Tài Liệu (sor, Use Case, User Story)",1 người
1751525190-32,Business Analyst,CÔNG TY CỔ PHẦN CÔNG NGHỆ LOOGIX,2 năm,12 - 30 triệu,"Tầng 2, Số 5, Ngõ 76, Phố Trần Thái Tông, Tổ 19, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 18:00)
                                                            Thứ 2 - Thứ 6 (từ 09:00 đến 18:30)","Số 5 Ngõ 76 đường Trần Thái Tông, Dịch Vọng, Cầu Giấy, Cầu Giấy","phân tích yêu cầu
                                    Mô Hình Hóa Dữ Liệu
                                    Viết tài liệu
                                    Giao tiếp hiệu quả
                                    Quản Lý Dự Án",1 người
1751525197-33,Business Analyst,Công ty CP Công nghệ phần mềm và nội dung số OSP,3 năm,Tới 35 triệu,"Tầng 4 Tòa nhà Garden Hill 99 Trần Bình , Mỹ Đình 2 , Nam Từ Liêm , Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)","Tầng 4, Tòa The Garden Hill, 99 Trần Bìn, Nam Từ Liêm",,1 người
1751525204-34,Business Analyst - Securities Domain,CÔNG TY CỔ PHẦN CHỨNG KHOÁN VINA,2 năm,Thoả thuận,"Phòng 702, Tầng 7, Tòa nhà Capital Building, số 58 phố Kim Mã, Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",Chứng khoán,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 09:00 đến 17:15)","Toà nhà Capital Building, số 58 phố Kim Mã, Phường Kim Mã, Ba Đình","Phân Tích Nghiệp Vụ
                                    Viết tài liệu
                                    Mô Hình Hóa Dữ Liệu
                                    Thu Thập Và Phân Tích Yêu Cầu
                                    Trình Bày Và Thuyết Trình",1 người
1751525211-35,Business Analyst (Domain Fintech),Công ty TNHH Equix Technologies,3 năm,Tới 35 triệu,"Level 21, Hoa Binh Tower, 106 Hoang Quoc Viet St., Cau Giay Dist., Hanoi",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 09:00 đến 18:00)","106 Hoàng Quốc Việt, Cầu Giấy","Phân Tích Nghiệp Vụ
                                    Viết tài liệu
                                    Mô Hình Hóa Dữ Liệu
                                    Thu Thập Và Phân Tích Yêu Cầu
                                    Trình Bày Và Thuyết Trình",2 người
1751525217-36,Chuyên Viên Phân Tích Nghiệp Vụ (BA) - Bank,Công Ty Cổ Phần GoGroup,3 năm,18 - 30 triệu,"Số 385 Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, TP Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)","18 lê văn lương, Cầu Giấy","Phân tích dữ liệu
                                    Quản Lý Sản Phẩm
                                    Xây Dựng Chiến Lược Sản Phẩm
                                    Phân Tích Nghiệp Vụ Ngân Hàng
                                    Quản Lý Dự Án Agile Scrum",1 người
1751525224-37,Chuyên Viên Phân Tích Nghiệp Vụ-Kế Toán Giao Dịch,Công ty cổ phần chứng khoán VPS,2 năm,Thoả thuận,Hội sở: 65 Cảm Hội - Quận Hai Bà Trưng - Hà Nội,Chứng khoán,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)",Hai Bà Trưng,"SQL
                                    Phân tích dữ liệu
                                    Kế Toán
                                    Kiểm Toán
                                    Excel Nâng Cao",3 người
1751525231-38,Chuyên Viên Business Analyst (BA),Công ty TNHH TM Thiên Thủy Mộc,2 năm,12 - 16 triệu,"Tòa nhà VMT, ngõ 82 Duy Tân, Cầu Giấy, Hà Nội",Khác,"Cách thức ứng tuyển
                    
                                                                                                            Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây.","82 Duy Tân, Cầu Giấy","Phân Tích Yêu Cầu Nghiệp Vụ
                                    Mô Hình Hóa Dữ Liệu
                                    Viết Tài Liệu (soạn Thảo Tài Liệu, Báo Cáo)
                                    Giao Tiếp Hiệu Quả (trình Bày, Thuyết Trình)
                                    Quản Lý Thời Gian Và Ưu Tiên Công Việc",3 người
1751525238-39,"Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst, Thu Nhập 13-23tr/Tháng)",Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,2 năm,13 - 23 triệu,"Nhà khách ATS số 8 Phạm Hùng, Mễ Trì, Nam Từ Liêm, Hà Nội",IT - Phần mềm,"Cách thức ứng tuyển
                    
                                                                                                            Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây.","Nhà khách ATS, số 8 Phạm Hùng, Mễ trì, Nam Từ Liêm",,1 người
1751525244-40,Chuyên Viên Phân Tích Nghiệp Vụ,Công ty cổ phần công nghệ Isofh,2 năm,Tới 25 triệu,"Tòa VOV, 35 Nguyễn Đình Chiểu, Lê Đại Hành, Hai Bà Trưng, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)","35 Nguyễn Đình Chiểu, Hai Bà Trưng","Kỹ năng giao tiếp
                                    Phân tích dữ liệu
                                    Kỹ năng giải quyết vấn đề
                                    Xây Dựng Báo Cáo
                                    Trình Bày Dữ Liệu",15 người
1751525251-41,Business Analyst Associate - Tại Hà Nội - Thu Nhập 12 - 22 Triệu,SAPP Academy,2 năm,13 - 22 triệu,"Số 54 Lê Thanh Nghị, phường Bách Khoa, quận Hai Bà Trưng, Hà Nội",Giáo dục / Đào tạo,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:45)
                                                            Thứ 2 - Thứ 6 (từ 09:30 đến 18:45)","54 lê thanh nghị, Hai Bà Trưng","Agile
                                    CRM
                                    Business Analyst",4 người
1751525258-42,Business Analyst (Kiêm Software Admin),CÔNG TY CỔ PHẦN THỰC PHẨM VÀ ĐỒ UỐNG BARETT,2 năm,20 - 25 triệu,"22 Thể Giao, LêĐại Hành, Hai Bà Trưng, Hà Nội",Bán lẻ - Hàng tiêu dùng - FMCG,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
                                                            Thứ 7 (từ 08:00 đến 12:00)","22 Thể Giao, Lê Đại Hành, Hai Bà Trưng","Phân Tích Nghiệp Vụ
                                    Giao tiếp hiệu quả
                                    Mô Hình Hóa Dữ Liệu
                                    Thu Thập Và Phân Tích Dữ Liệu
                                    Viết Tài Liệu (requirement, Use Case,...)",2 người
1751525264-43,Business Analyst (BA Dự Án) - 2 Năm Kinh Nghiệm - Thu Nhập 20 - 30 Triệu - Tại Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ VCI.,2 năm,20 - 30 triệu,"Tầng 2 nhà D khu văn phòng và nhà ở cao cấp Vinaconex1 số 289A đường Khuất Duy Tiến, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Khác,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 7 (từ 08:00 đến 17:00)
                                                            Nghỉ 2 thứ 7/ tháng","Tầng 2 nhà D Vinaconex1 số 289A đường Khuất Duy Tiến, phường Trung Hòa, Cầu Giấy",,1 người
1751525271-44,Business Analyst Leader - 4 Năm Kinh Nghiệm - Thu Nhập 30 - 40 Triệu - Tại Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ VCI.,4 năm,30 - 40 triệu,"Tầng 2 nhà D khu văn phòng và nhà ở cao cấp Vinaconex1 số 289A đường Khuất Duy Tiến, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Khác,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 7 (từ 08:00 đến 17:00)
                                                            Nghỉ 2 thứ 7/ tháng","Tầng 2 nhà D Vinaconex1 số 289A đường Khuất Duy Tiến, phường Trung Hòa, Cầu Giấy",,1 người
1751525278-45,Business Analyst (Banking- Payment- Finance),Công ty Cổ phần MISA,2 năm,Thoả thuận,"Tầng 9 tòa nhà Technosoft ngõ 15 Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)","tòa L3-R1, Khu Ngoại Giao Đoàn, Bắc Từ Liêm","Phân Tích Nghiệp Vụ
                                    Giao tiếp hiệu quả
                                    Thu Thập Và Phân Tích Dữ Liệu
                                    Mô Hình Hóa Quy Trình
                                    Viết Tài Liệu Kỹ Thuật",1 người
1751525284-46,Chuyên Viên Triển Khai Phần Mềm ERP,Công ty TNHH 1C Việt Nam,3 năm,Thoả thuận,"Tầng 21, Century Tower, TTTM Times City, số 458 Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
                                                            Nghỉ thứ 7 và Chủ nhật","Century Tower, Hai Bà Trưng","Thuyết trình
                                    Phân Tích Nghiệp Vụ
                                    Đào tạo
                                    Kiểm thử phần mềm
                                    Cấu Hình Phần Mềm Erp
                                    Triển Khai Phần Mềm Erp",1 người
1751525291-47,"Senior Business Analyst, Global Supply Chain ECommerce Platform (Up To 30 Months Of Annually Package...",Crossian,5 năm,Thoả thuận,"Tầng 1 và Tầng 5, Toà nhà Pax Sky, 63 - 65 phố Ngô Thì Nhậm, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",Thương mại điện tử,"Cách thức ứng tuyển
                    
                                                                                                            Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây.","65 Ngô Thì Nhậm, Hai Bà Trưng",,1 người
1751525297-48,[Model App] - CVC Phân Tích Nghiệp Vụ - MSB DF - 3B449,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),1 năm,20 - 24 triệu,"ROX Tower, 54A Nguyễn Chí Thanh, phường Láng Thượng, Đống Đa, TP. Hà Nội",Ngân hàng,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)",Hà Nội,"Phân tích dữ liệu
                                    Xử Lý Dữ Liệu
                                    SQL
                                    Excel Nâng Cao
                                    Phân Tích Nghiệp Vụ Ngân Hàng",1 người
1751525304-49,Nhân Viên Phân Tích Nghiệp Vụ/ Business Analyst,Công ty Cổ phần MISA,2 năm,"Từ 1,000 USD","Tầng 9 tòa nhà Technosoft ngõ 15 Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)","N03T1, Khu Ngoại Giao Đoàn, Bắc Từ Liêm","Phân Tích Nghiệp Vụ
                                    Thu Thập Và Phân Tích Dữ Liệu
                                    Viết Tài Liệu (soạn Thảo Báo Cáo, Tài Liệu Yêu Cầu)
                                    Giao Tiếp Hiệu Quả (trình Bày, Thuyết Trình)
                                    Xây Dựng Mô Hình Nghiệp Vụ",5 người
1751525311-50,Business Analyst (Banking- Payment- Finance),Công ty Cổ phần MISA,2 năm,Thoả thuận,"Tầng 9 tòa nhà Technosoft ngõ 15 Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)","tòa L3-R1, Khu Ngoại Giao Đoàn, Bắc Từ Liêm","Phân Tích Nghiệp Vụ
                                    Giao tiếp hiệu quả
                                    Thu Thập Và Phân Tích Dữ Liệu
                                    Mô Hình Hóa Quy Trình
                                    Viết Tài Liệu Kỹ Thuật",1 người
1751525317-51,Business Analyst,CÔNG TY CỔ PHẦN CÔNG NGHỆ BISTECH VIỆT NAM,1 năm,15 - 20 triệu,"Số 35 ngõ 50 Nguyễn Hữu Thọ, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Logistics - Vận tải,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 18:00)
                                                            Nghỉ trưa 1,5 tiếng","Số 14, Khúc Thừa Dụ, phường Dịch Vọng, Cầu Giấy",,1 người
1751525324-52,Business Analyst,CÔNG TY CỔ PHẦN CÔNG NGHỆ BISTECH VIỆT NAM,1 năm,15 - 20 triệu,"Số 35 ngõ 50 Nguyễn Hữu Thọ, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Logistics - Vận tải,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 18:00)
                                                            Nghỉ trưa 1,5 tiếng","Số 14, Khúc Thừa Dụ, phường Dịch Vọng, Cầu Giấy",,1 người
1751525331-53,Trưởng Nhóm IT Business Analyst,Công ty TNHH ICAR Việt Nam,1 năm,15 - 30 triệu,"MẶT BẰNG SỐ 01, TẦNG 2, KHU VL2, CHỢ THƯƠNG MẠI, DỊCH VỤ TỔNG HỢP TRUNG VĂN",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 18:00)","Tầng 2, Khu thương mại dịch vụ Trung Văn 2, Nam Từ Liêm, Nam Từ Liêm","Phân Tích Nghiệp Vụ
                                    Mô Hình Hóa Dữ Liệu
                                    Quản Lý Yêu Cầu
                                    Thu Thập Và Phân Tích Yêu Cầu
                                    Viết Tài Liệu Kỹ Thuật (ví Dụ: Srs, Use Case, User Story)",1 người
1751525338-54,Business Analyst ERP - Thu Nhập Upto 25M,CÔNG TY CỔ PHẦN KIDZONE ADVENTURES,2 năm,15 - 25 triệu,"610 Đường Láng, Phường Láng Hạ, Quận Đống đa, Hà Nội",Bán lẻ - Hàng tiêu dùng - FMCG,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
                                                            Thứ 7 (từ 08:00 đến 12:00)","424 Nguyễn Trãi, Thanh Xuân","Quản Lý Dự Án
                                    Phân Tích Nghiệp Vụ
                                    Mô Hình Hóa Dữ Liệu
                                    Thu Thập Và Phân Tích Yêu Cầu",1 người
1751525344-55,Kỹ Sư Phân Tích Nghiệp Vụ - Business Analyst,Tổng Công ty Cổ Phần Công trình Viettel,3 năm,16 - 20 triệu,Số 06 Phạm Văn Bạch - Phường Yên Hòa - Quận Cầu Giấy - TP. Hà Nội,Xây dựng,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
                                                            Từ 8h-17h30 các ngày T2 - T6 + 1 ngày T7 đầu tiên của tháng","Viettel Construction số 6 Phạm Văn Bạch, Yên Hòa, Cầu Giấy","Phân Tích Nghiệp Vụ
                                    Thu Thập Và Phân Tích Yêu Cầu
                                    Mô Hình Hóa Quy Trình Nghiệp Vụ
                                    Viết Tài Liệu (sor, Use Case, User Story)
                                    Giao tiếp hiệu quả",1 người
1751525351-56,Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst),Công ty Cổ phần Tập đoàn Meey Land,2 năm,20 - 40 triệu,"97-99 Láng Hạ, Đống Đa, hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 18:00)
                                                            Checkin linh hoạt từ 7.30-9.00 am","97-99 Láng Hạ, Đống Đa","SCRUM
                                    CRM
                                    Phân Tích Nghiệp Vụ
                                    BRD
                                    Agile/Scrum
                                    Thu Thập Và Phân Tích Dữ Liệu
                                                    Mô Hình Hóa Quy Trình Nghiệp Vụ
                                    Kiến thức SaaS",1 người
1751525357-57,IT Business Analyst (Project Management),Công ty TNHH Yusen Logistics (Việt Nam),2 năm,Thoả thuận,"P.805, tòa nhà HITC, 239 đường Xuân Thủy, P. Dịch Vọng Hậu, Q. Cầu Giấy, TP. Hà Nội",Logistics - Vận tải,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)
                                                            Thứ 7 (từ 08:00 đến 12:00)","8th floor, HITC Building, 239 Xuan Thuy Road, Cau Giay District, Hanoi, Cầu Giấy","Project Management
                                    Business Analyst",1 người
1751525364-58,Chuyên Viên Phân Tích Nghiệp Vụ,Công ty Cổ phần Tập đoàn Công nghệ Thiên Hoàng,2 năm,15 - 20 triệu,"Tầng 22, tòa nhà Viwaseen, 48 Tố Hữu, phường Trung Văn, quận Nam Từ Liêm, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)","Tầng 22 tòa nhà Viwaseen, số 48 Tố Hữu, Trung Văn, Nam Từ Liêm","Kỹ năng giao tiếp
                                    Kỹ năng giải quyết vấn đề
                                    Xây Dựng Báo Cáo
                                    Trình Bày Dữ Liệu",2 người
1751525371-59,Phân Tích Nghiệp Vụ Và Kiểm Thử Phần Mềm,Công ty cổ phần Ecoit,2 năm,12 - 17 triệu,"203 Nguyễn Huy Tưởng, Thanh Xuân, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)
                                                            Và 02 thứ 7 cách tuần trong tháng","Tòa AB, Imperia Garden 143 Nguyễn Tuân, Thanh Xuân, Thanh Xuân","Thu Thập Và Phân Tích Dữ Liệu
                                    Phân Tích Yêu Cầu Nghiệp Vụ
                                    Mô Hình Hóa Quy Trình Nghiệp Vụ
                                    Giao Tiếp Và Trình Bày Hiệu Quả
                                    Xây Dựng Tài Liệu Nghiệp Vụ",3 người
1751525377-60,Business Analyst (ERP/Frappe Framework),CÔNG TY CP CÔNG NGHỆ HẢI NAM TECH,1 năm,10 - 20 triệu,"Khu đô thị Việt Mỹ, Tổ 11, Phường Tân Quang, Thành phố Tuyên Quang, Tỉnh Tuyên Quang, Việt Nam",IT - Phần cứng,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 7 (từ 08:00 đến 17:30)","Tầng 6, số 30, 2/76 Duy Tân, Cầu Giấy, Cầu Giấy","Phân Tích Nghiệp Vụ
                                    Mô Hình Hóa Dữ Liệu
                                    Thu Thập Và Phân Tích Yêu Cầu
                                    Thiết Kế Quy Trình Nghiệp Vụ
                                    Viết Tài Liệu Kỹ Thuật",2 người
